Date,Accidents_Count
2020-01-01,63
2020-01-02,106
2020-01-03,136
2020-01-04,85
2020-01-05,49
2020-01-06,89
2020-01-07,115
2020-01-08,109
2020-01-09,107
2020-01-10,99
2020-01-11,104
2020-01-12,71
2020-01-13,80
2020-01-14,115
2020-01-15,107
2020-01-16,101
2020-01-17,97
2020-01-18,86
2020-01-19,71
2020-01-20,63
2020-01-21,82
2020-01-22,125
2020-01-23,125
2020-01-24,159
2020-01-25,75
2020-01-26,63
2020-01-27,107
2020-01-28,94
2020-01-29,104
2020-01-30,118
2020-01-31,112
2020-02-01,78
2020-02-02,81
2020-02-03,97
2020-02-04,124
2020-02-05,143
2020-02-06,130
2020-02-07,98
2020-02-08,63
2020-02-09,64
2020-02-10,103
2020-02-11,115
2020-02-12,117
2020-02-13,119
2020-02-14,126
2020-02-15,102
2020-02-16,76
2020-02-17,83
2020-02-18,124
2020-02-19,79
2020-02-20,110
2020-02-21,104
2020-02-22,89
2020-02-23,91
2020-02-24,132
2020-02-25,94
2020-02-26,104
2020-02-27,122
2020-02-28,149
2020-02-29,99
2020-03-01,89
2020-03-02,99
2020-03-03,110
2020-03-04,104
2020-03-05,118
2020-03-06,117
2020-03-07,105
2020-03-08,96
2020-03-09,101
2020-03-10,136
2020-03-11,109
2020-03-12,69
2020-03-13,76
2020-03-14,72
2020-03-15,69
2020-03-16,77
2020-03-17,58
2020-03-18,67
2020-03-19,57
2020-03-20,69
2020-03-21,45
2020-03-22,36
2020-03-23,50
2020-03-24,57
2020-03-25,34
2020-03-26,30
2020-03-27,55
2020-03-28,33
2020-03-29,35
2020-03-30,29
2020-03-31,51
2020-04-01,40
2020-04-02,32
2020-04-03,37
2020-04-04,46
2020-04-05,26
2020-04-06,32
2020-04-07,40
2020-04-08,35
2020-04-09,46
2020-04-10,39
2020-04-11,37
2020-04-12,83
2020-04-13,35
2020-04-14,30
2020-04-15,48
2020-04-16,36
2020-04-17,41
2020-04-18,37
2020-04-19,46
2020-04-20,47
2020-04-21,53
2020-04-22,34
2020-04-23,54
2020-04-24,62
2020-04-25,53
2020-04-26,27
2020-04-27,50
2020-04-28,65
2020-04-29,46
2020-04-30,28
2020-05-01,55
2020-05-02,51
2020-05-03,54
2020-05-04,59
2020-05-05,62
2020-05-06,49
2020-05-07,54
2020-05-08,60
2020-05-09,44
2020-05-10,44
2020-05-11,63
2020-05-12,66
2020-05-13,64
2020-05-14,62
2020-05-15,70
2020-05-16,53
2020-05-17,50
2020-05-18,65
2020-05-19,74
2020-05-20,88
2020-05-21,76
2020-05-22,77
2020-05-23,63
2020-05-24,69
2020-05-25,51
2020-05-26,60
2020-05-27,66
2020-05-28,64
2020-05-29,59
2020-05-30,78
2020-05-31,50
2020-06-01,73
2020-06-02,60
2020-06-03,54
2020-06-04,72
2020-06-05,74
2020-06-06,53
2020-06-07,56
2020-06-08,58
2020-06-09,72
