Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,49,42.0,35,20,18.3,15,52,38.9,32,17,12.1,6,29.8,29.8,29.7,0.00
2,52,41.6,31,28,19.6,17,76,43.6,25,10,6.2,0,29.9,29.8,29.8,0.00
3,66,49.3,32,30,24.6,19,79,44.6,18,8,4.1,0,29.8,29.7,29.7,0.00
4,74,58.5,39,37,32.2,28,73,41.0,20,8,4.9,0,29.7,29.6,29.5,0.00
5,78,63.6,48,42,38.5,35,68,42.8,23,14,5.4,0,29.5,29.5,29.4,0.00
6,81,67.8,55,49,46.1,42,69,48.2,29,13,5.3,0,29.5,29.4,29.3,0.00
7,80,71.1,57,61,53.8,46,72,54.9,44,20,10.4,3,29.4,29.3,29.2,0.00
8,76,66.0,58,59,52.6,46,90,65.3,36,24,10.8,0,29.2,29.1,29.0,0.45
9,83,69.5,52,58,48.4,43,80,51.1,24,20,10.3,0,29.3,29.2,29.1,0.02
10,71,65.3,60,59,53.9,41,87,68.3,42,20,10.9,5,29.2,29.0,28.9,0.04
11,73,62.1,50,41,36.8,30,71,42.1,21,18,10.5,5,29.1,29.0,29.0,0.16
12,79,66.1,51,45,41.8,36,71,43.3,26,10,4.1,0,29.3,29.2,29.1,0.00
13,74,63.8,54,51,47.5,44,75,56.2,41,12,5.1,0,29.5,29.4,29.4,0.00
14,61,57.8,55,47,42.7,41,64,57.3,49,12,6.3,0,29.5,29.4,29.4,0.00
15,64,55.6,49,42,34.6,32,62,46.5,30,15,9.6,3,29.4,29.4,29.3,0.00
16,66,55.5,41,38,34.7,31,79,48.3,28,6,2.4,0,29.4,29.3,29.3,0.00
17,64,57.7,51,43,41.1,39,71,54.4,41,12,5.4,0,29.3,29.3,29.2,0.00
18,65,55.6,43,45,41.9,40,89,62.4,40,7,2.7,0,29.4,29.3,29.3,0.00
19,71,57.6,46,45,40.5,36,86,57.2,29,10,4.5,0,29.4,29.3,29.3,0.01
20,74,58.9,44,43,38.0,31,82,51.0,23,20,7.1,0,29.4,29.3,29.2,0.00
21,52,42.1,36,35,28.3,20,86,61.8,30,14,9.0,0,29.6,29.5,29.4,0.08
22,63,49.8,35,33,28.8,26,76,48.2,26,10,4.8,0,29.6,29.5,29.5,0.00
23,61,51.5,45,48,41.5,33,80,69.0,56,9,4.4,0,29.6,29.5,29.4,0.00
24,65,56.7,52,59,50.7,43,87,80.7,66,16,8.5,0,29.3,29.1,29.0,0.27
25,71,59.8,50,50,45.4,38,80,61.6,31,13,6.4,0,29.4,29.4,29.3,0.14
26,80,63.6,45,49,46.1,41,86,56.9,32,15,5.4,0,29.5,29.4,29.3,0.00
27,84,73.0,61,56,50.9,46,62,47.5,27,21,8.9,0,29.4,29.4,29.3,0.00
28,74,69.3,65,67,62.8,56,90,80.1,65,17,5.9,0,29.4,29.4,29.3,0.00
29,70,67.7,61,65,62.5,56,93,83.3,71,13,8.0,5,29.4,29.3,29.2,0.72
30,77,65.3,53,55,47.6,40,93,58.3,27,15,7.0,0,29.5,29.5,29.4,0.48
