Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,95,87.0,80,76,72.9,70,85,64.3,44,16,6.2,0,29.4,29.4,29.4,0.04
2,89,82.8,76,74,70.7,68,79,67.2,53,16,6.5,0,29.4,29.3,29.3,0.00
3,91,81.5,72,70,67.7,65,87,64.9,43,13,5.5,0,29.4,29.3,29.3,0.32
4,93,83.5,73,71,69.0,66,87,63.5,41,10,3.4,0,29.4,29.4,29.3,0.00
5,94,85.1,76,72,70.0,68,85,62.3,43,12,5.7,0,29.4,29.4,29.3,0.00
6,95,84.8,74,71,68.1,62,87,60.1,33,12,4.8,0,29.4,29.3,29.2,0.00
7,83,78.9,75,73,70.7,69,85,76.1,69,12,6.4,0,29.2,29.2,29.2,0.00
8,90,80.8,75,72,69.5,65,84,69.5,53,16,9.8,5,29.2,29.2,29.1,0.00
9,89,79.0,70,66,63.1,57,78,59.4,40,13,8.8,5,29.4,29.3,29.2,0.00
10,83,73.7,65,57,56.3,53,75,55.7,37,12,8.0,5,29.5,29.5,29.4,0.00
11,85,75.1,64,57,55.8,54,78,52.5,37,13,8.0,0,29.5,29.5,29.4,0.00
12,86,76.8,66,58,56.6,55,75,51.2,35,8,5.9,0,29.5,29.4,29.4,0.00
13,88,79.0,68,65,61.1,58,76,55.3,40,12,6.6,0,29.5,29.4,29.4,0.00
14,89,80.4,73,65,62.3,60,76,55.8,38,10,3.2,0,29.5,29.4,29.4,0.00
15,95,82.5,68,67,64.4,63,84,56.8,36,8,3.7,0,29.4,29.4,29.3,0.00
16,96,86.2,77,71,68.0,65,76,56.1,36,13,8.5,0,29.4,29.3,29.3,0.00
17,98,83.9,72,72,67.2,60,87,61.5,29,23,6.5,0,29.3,29.3,29.2,0.00
18,89,78.6,71,69,65.6,62,87,66.3,42,13,6.8,0,29.3,29.3,29.3,0.29
19,83,75.2,70,65,63.3,61,81,67.4,47,13,8.1,3,29.4,29.4,29.3,0.02
20,83,73.2,66,61,55.6,51,79,56.0,37,15,9.5,3,29.5,29.4,29.4,0.00
21,82,70.6,59,53,50.2,48,78,50.8,30,15,10.2,5,29.6,29.5,29.5,0.00
22,89,75.5,63,62,56.9,50,65,53.2,40,13,6.8,0,29.6,29.5,29.5,0.00
23,92,80.1,68,63,58.7,54,78,50.9,27,10,5.1,0,29.6,29.6,29.5,0.00
24,93,79.8,66,62,57.7,55,78,50.0,29,9,4.5,0,29.6,29.6,29.5,0.00
25,95,81.7,66,61,57.8,55,81,48.2,27,10,3.9,0,29.6,29.6,29.5,0.00
26,98,83.4,68,62,57.8,53,78,46.0,23,9,3.1,0,29.6,29.5,29.5,0.00
27,100,85.8,69,61,58.6,56,73,43.5,23,9,4.5,0,29.5,29.5,29.4,0.00
28,100,87.8,74,63,59.5,57,62,40.7,25,10,4.0,0,29.5,29.4,29.4,0.00
29,102,87.8,73,65,61.9,57,71,44.8,22,9,4.3,0,29.5,29.4,29.4,0.00
30,96,82.1,75,70,67.3,65,79,62.6,36,16,4.6,0,29.5,29.4,29.4,0.00
31,94,81.3,72,70,68.0,65,87,66.1,40,15,4.6,0,29.5,29.4,29.3,0.44
