Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,67,52.8,40,48,41.7,34,83,67.8,43,15,7.4,0,29.5,29.4,29.3,0.00
2,74,58.9,47,50,40.8,35,86,55.9,24,13,6.2,3,29.5,29.4,29.4,0.04
3,75,59.9,43,51,45.5,38,82,61.1,38,13,6.7,3,29.4,29.4,29.3,0.00
4,62,57.9,53,54,48.3,36,87,71.6,47,13,4.6,0,29.6,29.5,29.4,0.00
5,69,61.9,50,57,49.7,36,73,64.3,54,26,11.3,0,29.5,29.4,29.2,0.00
6,68,52.6,33,57,41.7,20,88,68.1,38,26,12.2,5,29.6,29.4,29.2,0.09
7,44,37.8,29,22,17.7,13,69,46.5,30,9,6.3,3,29.6,29.5,29.4,1.25
8,53,43.3,35,25,21.0,14,64,43.5,21,9,4.4,0,29.5,29.4,29.4,0.00
9,63,51.0,33,49,34.1,21,67,54.0,31,21,10.7,0,29.4,29.4,29.3,0.00
10,73,63.0,57,64,57.1,50,90,81.3,71,24,12.9,8,29.3,29.3,29.1,0.00
11,73,56.4,36,62,48.1,26,96,74.5,60,24,15.0,3,29.6,29.3,29.0,0.00
12,50,38.3,28,31,24.6,20,85,61.4,32,7,2.8,0,29.8,29.7,29.6,0.00
13,61,44.1,29,34,29.2,23,79,59.3,31,13,4.6,0,29.8,29.7,29.7,0.00
14,65,49.8,33,41,36.1,29,86,61.8,40,8,3.8,0,29.8,29.7,29.7,0.00
15,68,60.5,54,51,40.4,33,70,49.0,33,23,14.7,8,29.7,29.6,29.5,0.00
16,69,62.1,55,59,53.9,48,90,75.1,58,23,10.8,0,29.5,29.5,29.4,0.00
17,65,57.9,52,60,53.5,47,90,85.4,78,13,5.0,0,29.5,29.5,29.4,0.44
18,72,58.1,42,61,51.6,34,87,79.3,59,16,10.8,5,29.5,29.4,29.3,0.57
19,46,40.0,32,34,28.4,24,73,63.8,46,16,10.4,6,29.7,29.6,29.5,0.32
20,47,38.0,29,35,30.0,23,83,73.2,63,8,2.6,0,29.7,29.6,29.5,0.00
21,51,42.6,37,37,34.1,30,86,72.7,56,7,2.4,0,29.5,29.4,29.3,0.00
22,47,39.1,31,31,21.3,15,73,51.3,28,13,6.6,0,29.5,29.5,29.3,0.00
23,63,44.7,26,27,22.7,19,86,47.5,18,15,8.8,3,29.6,29.5,29.4,0.00
24,69,59.9,50,53,44.3,28,67,56.9,38,22,15.6,12,29.4,29.3,29.2,0.00
25,75,68.5,64,56,54.2,53,72,60.9,48,15,9.3,0,29.3,29.2,29.1,0.00
26,68,60.8,53,56,53.7,49,89,78.0,65,10,4.1,0,29.4,29.4,29.3,0.00
27,69,67.0,62,59,58.0,56,84,72.7,65,14,9.6,5,29.3,29.2,29.2,0.00
28,72,66.0,57,61,57.8,53,87,75.4,57,18,10.1,0,29.2,29.1,29.0,0.00
29,69,58.5,51,62,51.8,48,90,78.7,60,14,5.3,0,29.2,29.2,29.1,0.05
30,60,54.2,49,51,49.1,45,93,83.1,67,6,2.8,0,29.3,29.3,29.2,0.41
31,72,64.3,51,63,56.3,48,89,75.4,64,12,7.1,3,29.3,29.2,29.1,0.01
