Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,33,31.0,29,30,27.6,26,89,86.8,85,10,6.1,0,29.8,29.7,29.6,0.33
2,36,33.6,32,32,30.4,29,92,88.0,82,8,3.8,0,29.7,29.6,29.6,0.12
3,36,30.3,25,28,17.5,13,89,61.0,42,15,8.9,0,29.9,29.8,29.6,0.00
4,51,37.2,19,27,20.1,12,88,54.3,28,12,6.1,0,29.9,29.8,29.6,0.00
5,60,50.4,42,39,33.8,27,80,54.0,39,17,10.4,3,29.6,29.5,29.4,0.00
6,63,49.1,31,39,32.3,28,92,57.5,27,9,4.5,0,29.6,29.5,29.5,0.00
7,69,58.0,44,50,42.2,30,75,56.1,46,18,6.8,0,29.6,29.5,29.5,0.00
8,67,60.4,54,57,53.6,50,90,78.6,66,20,8.1,3,29.6,29.5,29.3,0.00
9,65,59.7,48,60,46.6,35,87,62.6,48,29,15.8,6,29.5,29.4,29.2,0.29
10,57,46.3,39,36,34.1,31,77,63.4,44,16,8.7,0,29.7,29.6,29.6,0.00
11,56,44.0,35,32,28.3,21,82,57.6,33,17,12.1,7,29.7,29.6,29.4,0.00
12,59,47.3,36,24,20.1,12,62,35.7,19,14,8.5,0,29.4,29.3,29.3,0.01
13,69,50.4,31,33,27.9,20,69,45.3,22,10,5.5,0,29.4,29.3,29.3,0.00
14,67,56.1,38,46,36.8,31,79,51.8,30,28,12.7,0,29.3,29.3,29.1,0.00
15,71,64.7,59,61,57.4,48,88,77.5,59,17,11.6,7,29.4,29.3,29.2,0.00
16,73,63.7,44,63,58.4,39,93,83.3,64,24,13.3,3,29.3,29.2,29.2,1.53
17,41,35.2,29,35,24.2,18,79,64.6,54,16,11.4,5,29.8,29.6,29.4,0.27
18,51,38.3,22,27,20.3,14,89,53.7,24,7,3.5,0,29.9,29.8,29.6,0.00
19,61,55.0,45,33,28.2,23,56,37.2,23,17,12.2,8,29.6,29.5,29.3,0.00
20,68,59.8,54,52,46.9,34,83,63.1,42,14,7.6,0,29.3,29.2,29.1,0.00
21,68,59.3,46,54,40.6,32,93,56.0,27,39,7.3,0,29.3,29.2,29.1,0.00
22,79,70.5,64,63,58.5,54,93,67.8,42,25,13.8,0,29.2,29.1,29.0,0.00
23,82,71.5,55,64,57.3,39,93,63.1,36,16,8.2,0,29.6,29.4,29.2,0.07
24,52,48.3,42,37,33.7,31,79,57.7,48,17,9.6,3,29.8,29.7,29.6,0.00
25,52,47.2,44,42,40.4,36,90,78.1,56,12,3.9,0,29.7,29.6,29.5,0.04
26,59,53.2,46,54,48.5,43,93,84.3,72,8,3.9,0,29.5,29.4,29.2,0.32
27,80,67.4,56,63,48.5,34,93,57.4,22,21,13.6,0,29.2,29.0,28.8,0.01
28,75,63.8,51,44,40.4,38,68,43.7,26,10,5.1,0,29.3,29.2,29.1,0.14
