Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,70,57.6,47,56,50.9,46,97,79.9,53,12,6.4,0,29.5,29.4,29.3,0.00
2,73,65.6,53,64,58.0,48,87,76.5,66,16,10.0,0,29.5,29.4,29.3,0.00
3,71,63.1,59,64,58.9,55,93,86.3,70,20,11.0,3,29.3,29.2,29.1,0.04
4,65,59.5,46,62,46.9,32,96,66.7,30,14,6.7,0,29.4,29.2,29.1,1.60
5,55,46.8,36,36,29.3,22,89,54.8,29,15,7.8,3,29.5,29.4,29.4,0.00
6,54,43.2,32,30,23.6,0,85,48.2,0,9,3.2,0,29.7,29.6,29.5,0.00
7,49,46.6,42,45,6.9,0,87,13.6,0,9,4.7,0,29.6,29.6,29.5,0.00
8,52,48.2,39,49,5.6,0,100,7.6,0,12,4.2,0,29.6,29.5,29.5,0.11
9,52,40.9,34,36,16.8,0,87,34.3,0,9,3.8,0,29.7,29.6,29.5,0.00
10,62,47.0,31,43,35.9,27,85,67.0,44,14,5.5,0,29.5,29.4,29.3,0.00
11,65,58.4,49,56,51.2,42,90,77.2,68,16,10.5,6,29.3,29.3,29.2,0.00
12,70,57.9,40,58,51.0,33,87,78.2,64,25,14.8,3,29.4,29.1,29.0,0.00
13,40,35.5,33,34,29.8,25,89,80.0,70,18,12.7,7,29.6,29.5,29.4,0.32
14,40,34.0,29,25,22.9,22,82,64.2,51,16,6.8,0,29.7,29.6,29.6,0.00
15,53,38.6,26,26,22.0,17,88,56.5,25,8,4.0,0,29.7,29.5,29.4,0.00
16,60,51.1,37,53,38.2,21,90,63.0,42,21,11.6,3,29.4,29.3,29.1,0.00
17,69,58.8,49,56,51.2,45,93,77.9,47,12,5.7,0,29.3,29.2,29.1,0.40
18,70,58.5,45,59,52.7,42,93,81.8,68,28,8.8,0,29.3,29.2,29.1,0.00
19,68,58.2,42,61,46.3,30,90,67.9,27,21,11.7,5,29.4,29.2,29.1,0.00
20,50,40.6,33,30,28.4,26,76,63.1,43,10,6.3,3,29.6,29.5,29.5,0.00
21,49,40.4,30,35,28.6,25,85,64.3,46,12,4.5,0,29.6,29.5,29.3,0.00
22,46,43.7,39,43,40.1,33,93,86.9,73,12,6.3,0,29.3,29.2,29.1,0.14
23,50,41.0,32,33,30.2,27,83,67.1,41,10,6.4,0,29.7,29.5,29.3,0.03
24,50,41.2,27,37,29.3,24,92,65.4,41,15,4.5,0,29.7,29.5,29.2,0.00
25,54,44.8,39,48,38.4,33,89,78.6,63,21,11.4,5,29.3,29.1,28.9,0.33
26,40,37.0,30,33,28.3,22,83,71.2,57,13,7.7,3,29.6,29.5,29.4,0.00
27,55,42.1,26,29,24.0,21,81,51.8,30,16,9.7,3,29.6,29.6,29.5,0.00
28,61,50.2,37,32,25.2,18,60,39.7,20,18,11.3,5,29.7,29.6,29.5,0.00
29,52,48.3,45,48,44.0,39,94,85.4,74,13,6.3,0,29.6,29.5,29.5,0.62
30,51,46.7,38,48,44.2,35,97,91.0,85,13,5.6,0,29.6,29.6,29.4,0.17
31,36,33.8,30,33,30.8,26,92,88.9,85,12,8.9,7,29.7,29.6,29.6,0.10
