Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,84,76.0,68,62,57.3,54,71,53.5,37,18,10.3,5,29.5,29.5,29.4,0.00
2,95,81.8,64,71,64.4,56,78,57.0,38,15,8.6,0,29.4,29.4,29.4,0.00
3,96,86.6,79,75,71.1,69,72,60.8,43,17,10.3,0,29.5,29.4,29.3,0.00
4,99,87.2,78,73,71.4,68,79,61.0,37,13,6.3,0,29.4,29.3,29.2,0.00
5,92,82.7,76,73,70.1,67,85,66.7,45,17,5.8,0,29.3,29.3,29.2,0.00
6,90,81.2,72,69,64.0,61,84,57.3,40,13,5.8,0,29.4,29.4,29.3,0.04
7,94,82.0,68,66,63.4,58,84,55.7,30,10,4.6,0,29.4,29.4,29.3,0.00
8,98,84.8,75,71,67.5,65,79,58.2,35,12,5.1,0,29.4,29.4,29.3,0.00
9,93,83.4,75,77,71.1,64,82,67.1,47,31,10.3,0,29.3,29.2,29.1,0.00
10,89,78.6,72,65,63.1,62,76,60.4,40,17,7.5,0,29.4,29.3,29.2,0.28
11,92,81.6,69,67,64.3,62,84,57.8,37,9,4.2,0,29.4,29.4,29.4,0.00
12,94,83.4,71,69,65.6,59,87,58.0,33,13,4.2,0,29.5,29.5,29.4,0.00
13,99,86.0,73,69,65.9,62,84,54.0,31,9,4.3,0,29.6,29.5,29.5,0.00
14,98,87.0,73,70,66.5,62,84,53.3,30,10,3.9,0,29.5,29.5,29.4,0.00
15,99,88.0,77,71,67.9,66,74,52.9,34,12,5.1,0,29.4,29.4,29.3,0.00
16,94,85.8,77,71,69.2,64,79,58.8,41,12,5.8,0,29.4,29.3,29.3,0.00
17,94,83.7,76,71,68.4,64,79,61.3,42,17,8.3,3,29.4,29.3,29.3,0.00
18,86,77.2,73,70,65.7,57,90,69.7,41,14,8.3,0,29.4,29.4,29.4,0.09
19,84,75.5,65,66,60.8,58,78,60.9,44,9,5.2,0,29.5,29.4,29.4,0.00
20,89,77.4,69,71,67.8,65,87,73.4,45,14,5.1,0,29.4,29.4,29.4,0.00
21,90,77.4,72,70,68.7,65,91,76.1,45,12,3.5,0,29.4,29.4,29.3,0.00
22,87,78.3,72,72,68.3,66,91,72.5,49,12,3.7,0,29.4,29.4,29.3,0.03
23,80,75.4,72,72,70.2,68,90,84.0,71,10,3.7,0,29.5,29.4,29.4,0.00
24,85,77.5,72,71,69.7,68,91,77.9,58,9,3.1,0,29.6,29.5,29.5,0.26
25,88,79.5,73,72,69.8,67,90,73.4,51,8,2.8,0,29.6,29.5,29.5,0.02
26,86,78.2,73,71,69.7,67,87,75.8,57,9,3.2,0,29.5,29.4,29.4,0.00
27,91,80.5,72,71,68.7,66,91,69.4,45,12,3.8,0,29.5,29.4,29.4,0.13
28,84,78.8,75,75,72.2,70,91,80.3,69,9,5.5,0,29.5,29.4,29.4,0.00
29,85,77.7,74,74,72.0,70,91,82.6,67,12,6.3,0,29.4,29.4,29.3,0.99
30,96,81.5,73,75,72.0,68,90,74.4,47,22,8.8,3,29.4,29.4,29.3,0.34
31,95,85.0,73,74,71.5,69,90,65.9,44,9,5.5,0,29.4,29.4,29.4,0.85
