Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,83,71.3,56,58,50.7,45,69,50.2,33,9,5.0,0,29.6,29.6,29.5,0.00
2,90,78.3,65,65,61.9,59,81,59.3,40,13,5.6,0,29.5,29.5,29.4,0.00
3,90,79.7,68,70,65.6,63,84,63.3,45,15,5.8,0,29.4,29.3,29.3,0.00
4,86,76.9,71,73,67.7,65,87,74.1,55,16,8.4,3,29.3,29.2,29.2,0.00
5,91,78.4,71,69,67.1,65,87,70.0,43,8,5.6,0,29.3,29.3,29.2,0.62
6,93,82.5,72,70,67.5,65,87,62.8,41,8,3.6,0,29.4,29.3,29.3,0.00
7,94,83.5,70,70,65.8,59,90,57.8,37,14,7.1,0,29.3,29.3,29.2,0.00
8,88,81.4,72,70,66.9,59,71,61.7,53,15,9.7,0,29.3,29.2,29.2,0.00
9,89,81.2,77,72,70.8,69,82,71.0,55,22,14.4,8,29.2,29.2,29.1,0.02
10,93,81.5,69,73,65.1,55,81,59.6,34,24,14.0,5,29.4,29.2,29.1,0.04
11,84,74.9,63,58,52.9,49,78,48.7,29,14,7.0,0,29.6,29.5,29.4,0.00
12,88,75.8,60,55,51.5,48,78,46.3,25,17,6.5,0,29.6,29.6,29.5,0.00
13,91,77.0,62,58,54.0,49,80,49.1,25,10,3.3,0,29.5,29.5,29.4,0.00
14,82,72.7,63,62,57.3,54,81,59.8,44,22,6.0,0,29.6,29.5,29.5,0.00
15,82,72.3,62,59,53.9,50,80,54.7,36,15,9.1,3,29.6,29.6,29.5,0.00
16,82,72.7,61,59,56.1,54,81,57.5,39,13,7.1,0,29.6,29.6,29.5,0.00
17,81,72.5,62,59,56.7,54,78,58.8,45,12,3.8,0,29.5,29.5,29.4,0.00
18,85,74.7,63,64,59.6,58,87,61.8,40,12,4.5,0,29.5,29.4,29.4,0.00
19,91,76.8,66,66,62.4,58,87,64.2,35,9,4.0,0,29.5,29.4,29.4,0.00
20,93,80.7,67,65,62.3,58,87,56.8,33,6,2.5,0,29.5,29.4,29.3,0.00
21,80,73.5,69,71,67.5,63,90,81.7,67,14,5.9,0,29.4,29.3,29.3,0.00
22,88,77.0,67,69,66.1,64,90,71.4,45,15,7.4,0,29.4,29.3,29.2,0.64
23,87,76.2,71,71,66.6,60,93,74.5,44,13,7.3,0,29.3,29.2,29.2,0.53
24,87,75.2,67,68,64.1,60,90,70.6,40,13,4.3,0,29.3,29.3,29.3,0.04
25,87,76.7,67,68,61.2,54,93,63.7,33,7,3.0,0,29.5,29.4,29.3,0.01
26,87,76.6,66,69,66.7,61,90,72.3,49,14,6.8,0,29.5,29.5,29.4,0.00
27,88,79.6,73,71,67.4,65,84,67.1,53,13,8.5,5,29.4,29.4,29.3,0.00
28,92,81.2,74,72,70.0,66,85,69.7,47,22,8.4,0,29.3,29.3,29.2,0.00
29,92,78.4,72,72,69.5,68,90,75.9,48,16,4.8,0,29.4,29.4,29.3,0.00
30,81,74.7,72,72,69.7,67,94,84.7,69,14,6.2,0,29.4,29.4,29.3,0.01
