Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,78,64.3,51,49,40.1,32,67,43.7,22,10,5.0,0,29.6,29.4,29.3,0.00
2,74,65.1,56,61,52.5,45,87,65.3,41,12,5.2,0,29.3,29.2,29.1,0.00
3,82,69.6,66,67,63.9,62,93,82.7,58,13,8.5,0,29.1,29.1,29.0,1.62
4,78,70.1,63,69,64.1,60,90,81.5,64,21,11.0,3,29.3,29.2,29.1,0.73
5,65,59.7,50,60,51.1,41,90,74.8,45,12,7.4,0,29.5,29.4,29.2,0.72
6,71,56.4,45,50,44.0,37,90,67.9,30,31,5.8,0,29.6,29.5,29.4,0.00
7,70,59.5,47,47,39.4,35,86,51.3,28,13,7.7,3,29.5,29.5,29.4,0.28
8,67,60.5,56,48,44.2,38,75,55.3,44,9,4.8,0,29.5,29.4,29.3,0.00
9,71,63.5,54,62,55.9,48,90,77.4,51,21,10.1,0,29.4,29.2,29.2,0.00
10,59,52.9,49,49,45.5,44,86,76.3,60,12,6.6,0,29.5,29.4,29.3,0.43
11,70,59.6,46,48,43.7,41,90,59.3,36,16,8.0,0,29.6,29.5,29.5,0.00
12,68,59.8,53,43,36.7,33,64,43.6,29,18,12.6,6,29.6,29.6,29.5,0.01
13,71,59.0,44,40,36.5,34,76,45.5,28,14,6.1,0,29.7,29.6,29.6,0.00
14,74,60.6,43,42,38.0,35,82,47.6,25,9,3.0,0,29.7,29.6,29.6,0.00
15,77,64.4,46,47,42.5,38,86,50.0,25,8,3.7,0,29.6,29.6,29.5,0.00
16,79,68.3,59,58,54.7,48,87,63.7,42,8,4.3,0,29.6,29.5,29.5,0.01
17,78,69.7,58,55,53.5,51,81,58.3,42,12,7.1,3,29.6,29.5,29.5,0.01
18,76,70.7,65,59,56.3,54,70,60.5,52,16,9.0,5,29.6,29.5,29.5,0.00
19,83,73.3,67,60,57.5,54,79,59.5,38,21,10.8,5,29.6,29.6,29.5,0.00
20,84,74.7,64,59,54.6,51,70,51.2,32,16,8.8,0,29.7,29.6,29.6,0.00
21,86,74.6,62,58,53.0,49,72,49.5,30,17,6.8,0,29.8,29.7,29.7,0.00
22,86,75.0,61,61,57.8,56,83,57.8,36,8,2.9,0,29.8,29.7,29.6,0.00
23,90,76.5,61,63,58.0,54,90,57.2,31,8,3.3,0,29.7,29.6,29.5,0.00
24,89,76.5,62,63,58.8,56,86,58.0,32,7,2.2,0,29.6,29.5,29.5,0.00
25,91,78.6,65,63,60.5,57,87,57.3,34,12,4.8,0,29.5,29.5,29.4,0.00
26,81,71.1,66,67,63.6,59,93,78.3,54,13,5.2,0,29.5,29.5,29.5,0.00
27,86,72.3,65,66,64.7,62,94,79.1,48,9,2.9,0,29.5,29.4,29.3,0.26
28,80,70.3,57,69,64.0,53,90,80.9,60,16,8.4,0,29.3,29.2,29.2,0.15
29,61,55.8,53,51,48.6,45,86,77.1,67,15,9.3,0,29.5,29.4,29.3,0.83
30,74,62.8,52,49,45.8,43,80,56.3,33,13,7.5,5,29.6,29.6,29.5,0.00
31,80,66.5,51,55,49.3,46,83,57.1,34,9,2.8,0,29.7,29.6,29.6,0.00
