Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,68,52.3,32,44,29.8,20,77,44.8,27,17,9.6,0,29.6,29.5,29.4,0.00
2,62,56.4,50,57,51.8,45,87,84.7,80,18,11.3,0,29.4,29.2,29.1,0.33
3,67,61.0,47,57,48.8,34,84,66.0,35,26,9.4,0,29.3,29.1,29.0,0.70
4,64,54.5,45,41,36.1,33,80,53.1,31,9,4.7,0,29.4,29.4,29.3,0.00
5,67,56.1,45,36,32.0,26,60,42.0,26,15,6.0,0,29.4,29.4,29.4,0.00
6,55,45.8,36,25,23.3,16,62,42.5,22,22,14.3,0,29.8,29.7,29.5,0.00
7,55,42.3,30,26,22.8,19,72,49.0,25,13,5.2,0,29.9,29.9,29.8,0.00
8,68,52.4,33,28,26.5,24,75,41.5,19,17,9.3,0,29.9,29.8,29.7,0.00
9,66,59.6,50,49,40.1,27,64,48.6,37,21,13.2,6,29.8,29.7,29.5,0.00
10,67,59.0,50,59,51.8,43,90,77.6,60,21,10.3,5,29.6,29.6,29.5,0.03
11,59,53.5,46,52,46.8,42,89,78.4,67,10,3.7,0,29.5,29.4,29.3,0.17
12,74,64.1,53,61,56.3,49,90,76.7,55,20,8.2,0,29.3,29.2,29.1,0.03
13,66,57.7,51,62,42.4,27,87,58.7,37,17,10.3,5,29.7,29.5,29.2,0.07
14,53,49.5,44,46,38.3,28,90,68.2,41,15,7.7,3,29.7,29.6,29.6,0.00
15,46,43.3,41,41,36.6,34,89,77.4,68,14,9.8,6,29.8,29.8,29.7,0.26
16,54,48.3,42,47,40.8,34,83,75.5,66,5,2.5,0,29.7,29.6,29.5,0.00
17,56,51.8,50,50,46.6,45,93,82.9,69,12,6.3,0,29.6,29.6,29.5,0.79
18,68,62.0,50,63,57.1,45,90,84.1,73,14,5.8,0,29.6,29.5,29.4,0.22
19,78,70.0,63,63,61.7,60,93,75.8,56,21,11.7,3,29.5,29.5,29.4,0.63
20,73,65.2,48,66,58.6,41,90,79.5,66,21,11.3,3,29.7,29.5,29.4,0.34
21,50,45.9,40,41,37.2,32,86,72.2,54,12,8.1,6,29.8,29.8,29.7,0.45
22,60,49.9,39,52,42.4,32,90,76.3,53,8,5.0,0,29.7,29.6,29.4,0.00
23,60,55.0,48,54,49.1,43,93,80.9,64,10,4.7,0,29.5,29.5,29.4,0.49
24,63,56.2,47,61,52.8,43,94,88.6,83,13,5.6,0,29.4,29.2,29.1,0.04
25,61,53.4,47,48,45.7,44,90,76.0,58,12,4.7,0,29.4,29.3,29.2,0.97
26,82,65.7,44,55,50.6,40,90,61.6,39,22,9.6,0,29.3,29.2,29.1,0.00
27,84,75.7,65,63,59.8,55,73,58.3,47,13,8.8,3,29.2,29.2,29.1,0.00
28,81,74.5,69,65,62.5,61,87,66.7,50,22,11.8,5,29.3,29.2,29.2,0.00
29,75,67.5,58,64,45.7,31,84,50.1,24,16,10.0,3,29.5,29.4,29.2,0.36
30,65,59.2,47,42,37.9,34,77,46.5,32,7,3.9,0,29.6,29.5,29.4,0.00
31,56,50.4,47,46,40.8,33,86,70.7,50,20,12.3,0,29.4,29.3,29.2,0.18
