Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,62,52.9,45,42,38.0,33,83,59.5,34,9,5.9,0,29.7,29.6,29.6,0.00
2,54,47.0,41,37,34.0,28,74,61.2,43,15,8.6,5,29.8,29.7,29.7,0.00
3,49,43.5,38,29,27.0,25,68,53.2,41,12,7.2,3,29.8,29.7,29.6,0.00
4,56,43.6,32,32,27.6,26,85,56.3,32,12,5.1,0,29.7,29.6,29.6,0.00
5,59,44.4,32,35,30.8,26,82,61.9,36,7,2.7,0,29.7,29.6,29.6,0.00
6,62,44.0,34,41,34.9,30,89,73.2,38,10,1.2,0,29.7,29.6,29.6,0.00
7,66,48.9,34,39,35.3,30,89,63.9,29,7,2.2,0,29.6,29.6,29.6,0.00
8,73,48.0,36,42,36.8,32,93,70.0,28,7,1.9,0,29.7,29.6,29.6,0.00
9,75,56.7,41,46,41.4,35,86,60.6,29,9,3.7,0,29.6,29.6,29.5,0.00
10,73,57.8,44,48,43.5,40,85,61.8,35,10,5.0,0,29.5,29.4,29.4,0.00
11,67,58.3,48,57,50.4,43,88,75.4,58,17,8.5,3,29.4,29.3,29.2,0.00
12,65,50.9,41,42,35.3,27,86,59.9,24,20,9.8,6,29.4,29.4,29.3,0.51
13,49,40.6,33,29,26.0,22,79,57.8,38,9,4.7,0,29.5,29.5,29.4,0.00
14,58,46.0,32,34,30.1,26,79,56.5,35,15,7.8,0,29.5,29.4,29.3,0.00
15,57,44.7,32,32,29.0,25,82,56.3,34,13,4.5,0,29.6,29.5,29.4,0.00
16,70,57.7,41,57,48.5,33,78,71.4,63,15,6.3,0,29.5,29.4,29.4,0.00
17,71,63.5,57,54,52.0,51,81,66.9,53,18,12.1,7,29.5,29.5,29.4,0.00
18,66,47.7,32,53,36.1,23,82,66.0,35,21,9.0,0,29.8,29.7,29.4,0.09
19,50,39.4,31,25,22.0,19,79,52.1,31,10,4.6,0,29.9,29.8,29.7,0.14
20,60,46.5,32,30,25.3,23,75,47.2,25,18,6.7,0,29.7,29.7,29.6,0.00
21,61,54.2,48,53,46.3,29,90,75.8,43,20,6.2,0,29.6,29.5,29.4,0.00
22,51,41.8,30,46,27.8,17,83,59.9,33,12,8.1,3,29.6,29.6,29.5,0.30
23,48,36.5,26,24,19.9,14,81,54.3,26,5,2.5,0,29.7,29.6,29.6,0.00
24,62,47.7,32,25,23.3,21,66,41.3,21,16,9.0,0,29.7,29.6,29.6,0.00
25,53,47.0,36,46,36.2,24,90,70.0,32,18,9.9,0,29.6,29.5,29.5,0.00
26,44,34.1,28,27,19.0,11,72,56.7,28,15,6.4,3,29.7,29.6,29.5,0.43
27,58,43.5,26,25,22.2,20,78,46.8,27,13,7.8,3,29.5,29.4,29.3,0.00
28,54,44.9,35,32,27.3,19,76,51.3,40,14,5.5,0,29.6,29.4,29.4,0.00
29,50,39.4,28,23,16.6,12,72,42.1,23,9,4.7,0,29.6,29.5,29.4,0.00
30,65,50.3,39,38,32.1,19,76,51.2,36,10,4.8,0,29.5,29.5,29.4,0.00
