Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,88,76.5,70,67,64.0,59,87,67.3,39,9,4.0,0,29.6,29.5,29.5,0.00
2,82,72.4,64,69,63.9,60,87,75.6,52,15,5.8,0,29.5,29.5,29.4,0.00
3,79,71.6,68,68,65.7,63,87,81.9,64,13,6.0,0,29.4,29.3,29.3,0.35
4,82,71.1,65,65,62.1,59,90,74.8,47,5,1.9,0,29.4,29.3,29.3,1.05
5,74,68.8,63,67,63.2,60,90,82.2,71,12,5.2,0,29.4,29.4,29.4,0.00
6,79,70.0,65,66,63.5,60,87,80.2,62,17,7.7,0,29.5,29.4,29.4,0.99
7,81,70.2,64,64,62.3,61,90,77.2,52,8,3.3,0,29.5,29.5,29.4,0.26
8,83,70.7,61,63,60.2,57,90,71.7,44,10,2.5,0,29.5,29.4,29.4,0.00
9,85,73.2,63,64,61.0,59,87,68.1,41,9,3.9,0,29.4,29.4,29.3,0.00
10,86,74.6,64,64,62.0,60,87,66.7,43,12,6.7,3,29.4,29.3,29.3,0.00
11,83,74.4,65,63,61.1,59,84,64.8,44,21,12.3,0,29.3,29.3,29.2,0.00
12,83,72.6,64,65,60.8,56,87,69.0,41,10,4.6,0,29.4,29.4,29.3,0.02
13,84,73.8,63,66,63.8,58,87,71.9,54,13,5.5,0,29.4,29.4,29.3,0.00
14,85,74.6,67,65,62.5,61,87,67.7,46,13,5.3,0,29.4,29.3,29.3,0.00
15,80,72.9,68,67,64.5,61,84,75.1,62,14,6.8,0,29.3,29.3,29.2,0.00
16,68,59.9,51,64,45.4,33,87,62.1,28,22,11.9,3,29.6,29.4,29.2,0.24
17,70,55.5,44,43,38.1,31,86,57.0,25,9,3.3,0,29.6,29.6,29.6,0.00
18,74,56.3,43,46,41.4,38,83,61.5,30,7,3.0,0,29.6,29.6,29.5,0.00
19,75,57.5,45,49,44.9,41,86,66.7,33,10,3.1,0,29.6,29.6,29.5,0.00
20,78,63.1,48,56,51.0,44,86,67.2,40,10,4.6,0,29.6,29.6,29.5,0.00
21,77,68.3,56,63,56.0,44,81,65.9,42,15,7.9,0,29.5,29.4,29.3,0.03
22,62,55.5,48,49,45.2,42,86,69.2,53,6,3.8,0,29.5,29.4,29.4,0.03
23,70,58.4,47,52,47.6,42,86,68.8,44,7,4.0,0,29.5,29.4,29.3,0.00
24,81,68.5,57,57,52.2,49,77,57.1,42,18,11.0,0,29.4,29.3,29.3,0.00
25,72,61.5,55,61,51.9,42,90,71.7,56,21,10.9,3,29.4,29.3,29.2,0.74
26,61,54.4,48,44,41.3,39,80,61.9,48,13,6.8,0,29.4,29.4,29.3,0.38
27,68,55.2,44,43,39.4,36,86,58.9,33,9,5.5,0,29.4,29.3,29.1,0.00
28,65,59.4,55,56,50.9,39,87,74.0,53,15,9.6,3,29.0,28.9,28.8,0.00
29,59,55.2,53,51,49.5,47,90,81.3,64,9,5.0,0,29.0,28.9,28.8,0.48
30,57,54.8,53,52,49.5,48,87,82.2,77,13,8.7,5,29.2,29.0,28.9,0.04
31,67,57.0,51,48,46.6,44,80,69.4,47,12,6.3,0,29.6,29.4,29.2,0.09
