Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precip_Total
1,84,76.2,70,67,64.9,61,84,68.7,53,14,7.5,0,29.3,29.2,29.1,0.74
2,84,74.0,65,62,57.9,54,81,59.2,39,12,6.8,0,29.4,29.4,29.3,0.00
3,84,72.3,60,62,58.2,55,86,63.2,41,6,2.3,0,29.5,29.4,29.4,0.00
4,86,75.3,64,64,62.5,60,87,66.2,43,14,4.9,0,29.4,29.4,29.3,0.00
5,76,72.3,68,67,64.5,60,87,76.5,68,8,4.4,0,29.3,29.3,29.3,0.00
6,84,73.7,64,64,57.4,53,90,59.8,35,10,4.5,0,29.4,29.4,29.3,0.04
7,86,72.4,59,62,57.8,54,86,63.2,37,8,2.7,0,29.4,29.3,29.3,0.00
8,85,73.2,64,66,62.1,58,87,70.4,40,13,5.9,0,29.3,29.3,29.2,0.00
9,82,71.0,60,61,53.2,48,86,57.0,30,15,6.3,0,29.4,29.4,29.3,0.01
10,83,69.3,57,57,53.5,50,87,61.0,32,8,1.9,0,29.5,29.5,29.4,0.00
11,86,71.7,57,61,56.7,53,87,62.3,35,13,5.6,0,29.6,29.5,29.5,0.00
12,86,75.2,64,65,62.5,59,84,66.7,46,10,5.8,3,29.6,29.6,29.6,0.00
13,90,78.3,68,69,65.6,63,87,67.0,43,5,2.9,0,29.6,29.5,29.4,0.00
14,89,77.8,70,70,67.4,65,87,71.5,45,13,4.6,0,29.4,29.4,29.3,0.00
15,81,75.3,72,70,68.0,67,87,78.3,62,8,4.8,0,29.4,29.4,29.3,0.03
16,85,76.0,68,67,65.5,64,87,71.0,49,9,5.2,0,29.4,29.4,29.3,0.28
17,79,74.1,70,71,68.5,65,88,82.7,66,10,4.4,0,29.5,29.4,29.4,0.00
18,76,73.3,72,70,68.3,67,91,84.5,76,14,4.5,0,29.5,29.5,29.4,0.36
19,74,72.4,71,69,67.9,66,90,85.8,84,12,5.2,0,29.5,29.4,29.4,0.65
20,74,72.2,68,70,67.8,63,91,85.8,78,13,6.3,0,29.4,29.4,29.4,0.80
21,82,73.8,68,72,67.5,63,87,81.0,67,10,3.5,0,29.4,29.4,29.3,1.56
22,72,64.4,53,67,55.8,46,90,74.7,51,21,9.8,3,29.5,29.4,29.3,0.64
23,72,60.4,51,49,45.4,39,86,61.9,30,12,5.0,0,29.5,29.4,29.4,0.10
24,75,59.0,50,52,46.9,42,89,68.6,32,6,1.8,0,29.6,29.5,29.4,0.00
25,76,64.9,53,57,53.1,48,83,67.3,45,12,4.3,0,29.5,29.5,29.4,0.00
26,81,63.9,57,60,54.4,48,94,75.2,32,8,1.7,0,29.6,29.5,29.4,0.00
27,84,70.0,56,60,56.6,52,87,65.3,41,12,5.7,0,29.5,29.4,29.4,0.00
28,86,72.6,61,63,59.7,56,84,66.3,40,7,3.6,0,29.4,29.4,29.3,0.00
29,87,74.8,65,65,61.8,59,87,66.3,39,7,2.2,0,29.4,29.4,29.4,0.00
30,85,75.0,66,66,63.2,61,84,68.0,46,7,2.7,0,29.5,29.5,29.4,0.00
